Sentence,trasnlated_text
"Interactive design requires that components of a project connect to each other, but also make sense as a separate entity.","Thiết kế tương tác yêu cầu các thành phần của một dự án kết nối với nhau, nhưng cũng có ý nghĩa như một thực thể riêng biệt."
Increasingly supermarkets are getting a more varied section of ready-made food. Some even provide a microwave oven or other means to heat food.,Các siêu thị ngày càng nhận được một phần đa dạng hơn của thực phẩm làm sẵn.Một số thậm chí cung cấp lò vi sóng hoặc các phương tiện khác để làm nóng thức ăn.
An official with the gas company was reporting to the scene after a neighbor called about a gas leak.,Một quan chức của công ty gas đã báo cáo hiện trường sau khi một người hàng xóm gọi về rò rỉ khí đốt.
"At least 100 people had attended the party, in order to celebrate the first anniversary of a couple whose wedding was held last year.","Ít nhất 100 người đã tham dự bữa tiệc, để kỷ niệm đầu tiên của một cặp vợ chồng có đám cưới được tổ chức vào năm ngoái."
"The Cook Islands are an island country in free association with New Zealand, located in Polynesia, in the middle of the South Pacific Ocean.","Quần đảo Cook là một quốc đảo trong hiệp hội miễn phí với New Zealand, nằm ở Polynesia, ở giữa Nam Thái Bình Dương."
"Cells are so basic and critical to the study of life, in fact, that they are often referred to as ""the building blocks of life"".","Các tế bào rất cơ bản và quan trọng đối với nghiên cứu về cuộc sống, trên thực tế, chúng thường được gọi là ""các khối xây dựng của cuộc sống""."
Real-time text translator apps – applications that are capable of automatically translating whole segments of text from one language into another.,Ứng dụng Trình dịch văn bản thời gian thực-Các ứng dụng có khả năng tự động dịch toàn bộ phân đoạn văn bản từ ngôn ngữ này sang ngôn ngữ khác.
"General John Cadwalder would launch a diversionary attack against the British garrison at Bordentown, in order to block off any reinforcements.","Tướng John Cadwalder sẽ tiến hành một cuộc tấn công nghi binh chống lại quân đồn trú của Anh tại Bordentown, để ngăn chặn mọi quân tiếp viện."
The Drukgyal Dzong is a ruined fortress and Buddhist monastery in the upper part of the Paro District (in Phondey Village).,Drukgyal Dzong là một pháo đài đổ nát và tu viện Phật giáo ở phần trên của quận Paro (ở làng Phondey).
Visa requirements and costs vary from nation to nation and are affected by the country you come from.,Yêu cầu thị thực và chi phí khác nhau từ quốc gia này sang quốc gia khác và bị ảnh hưởng bởi quốc gia bạn đến.
"For most countries, you will need an offer letter from the institution you wish to study at, and also evidence of funds to support yourself for at least the first year of your course.","Đối với hầu hết các quốc gia, bạn sẽ cần một lá thư đề nghị từ tổ chức bạn muốn học tại, và cũng là bằng chứng về các quỹ để hỗ trợ bản thân trong ít nhất năm đầu tiên của khóa học của bạn."
"In this resonance, magnetic field and radio waves cause atoms to give off tiny radio signals.","Trong cộng hưởng này, từ trường và sóng radio khiến các nguyên tử phát ra tín hiệu vô tuyến nhỏ."
"Thus the scourges of Delhi Belly, the Pharaoh's Curse, Montezuma's Revenge, and their many friends.","Do đó, tai họa của bụng Delhi, lời nguyền của Pharaoh, sự trả thù của Montezuma và nhiều người bạn của họ."
"It has the same molecular structure whether it is a gas, liquid, or solid.","Nó có cùng cấu trúc phân tử cho dù đó là khí, chất lỏng hay rắn."
A couple of thousand staff live here in summer in some four dozen bases mostly in those areas; a small number stay over winter.,Một vài ngàn nhân viên sống ở đây vào mùa hè trong khoảng bốn chục căn cứ chủ yếu ở những khu vực đó;Một số lượng nhỏ ở lại trong mùa đông.
"The band's management company, HK Management Inc., gave no initial reason when they canceled on September 20, but blamed logistical reasons by the next day.","Công ty quản lý của ban nhạc, HK Management Inc., không đưa ra lý do ban đầu khi họ hủy vào ngày 20 tháng 9, nhưng đổ lỗi cho lý do hậu cần vào ngày hôm sau."
"Although most agencies are willing to take on most regular bookings, many agents specialise in particular types of travel, budget ranges or destinations.","Mặc dù hầu hết các cơ quan sẵn sàng tham gia hầu hết các đặt phòng thường xuyên, nhiều đại lý chuyên về các loại du lịch, phạm vi ngân sách hoặc điểm đến cụ thể."
Its large glazed windows and thin walls would not have been able to resist a determined attack for long.,Cửa sổ tráng men lớn và những bức tường mỏng của nó sẽ không thể chống lại một cuộc tấn công quyết tâm lâu dài.
However in 991 Ethelred was faced with a Viking fleet larger than any since Guthrum's a century earlier.,"Tuy nhiên, vào năm 991, Ethelred đã phải đối mặt với một hạm đội Viking lớn hơn bất kỳ gì kể từ một thế kỷ của Guthrum trước đó."
"According to reports, an apartment on Macbeth Street exploded due to a gas leak.","Theo báo cáo, một căn hộ trên đường Macbeth bùng nổ do rò rỉ khí."
When all individuals in a population are identical with regard to a particular phenotypic trait they are known as monomorphic.,"Khi tất cả các cá nhân trong dân số giống hệt nhau liên quan đến một đặc điểm kiểu hình cụ thể, chúng được gọi là đơn hình."
"The outer-part we see when we look at the Sun is called the photosphere, which means ""ball of light"".","Phần bên ngoài mà chúng ta thấy khi chúng ta nhìn vào mặt trời được gọi là Photosphere, có nghĩa là ""Ball of Light""."
"The pattern should be deep enough, 5 mm (1/5 inch) or more, and the material soft enough in cold temperatures.","Mẫu phải đủ sâu, 5 mm (1/5 inch) trở lên, và vật liệu đủ mềm trong nhiệt độ lạnh."
"For those unfamiliar with medical jargon, the words infectious and contagious have distinct meanings.","Đối với những người không quen thuộc với biệt ngữ y khoa, các từ truyền nhiễm và truyền nhiễm có ý nghĩa riêng biệt."
"Avalanches are not an abnormality; steep slopes can hold only so much slow, and the excess volumes will come down as avalanches.","Trận tuyết lở không phải là một sự bất thường;Các sườn dốc chỉ có thể giữ rất chậm, và khối lượng dư thừa sẽ giảm xuống dưới dạng tuyết lở."
"These bosses had been reined in by Provenzano when he put an end to the Riina-driven war against the state that claimed the lives of Mafia crusaders Giovanni Falcone and Paolo Borsellino in 1992.""","Những ông chủ này đã được Revenzano thống trị khi ông chấm dứt cuộc chiến do Riina điều khiển chống lại nhà nước tuyên bố cuộc sống của Mafia Crusaders Giovanni Falcone và Paolo Borsellino vào năm 1992. """""
"Accompanied by those officials, he assured Texas citizens that steps were being taken to protect the public's safety.","Đi cùng với các quan chức đó, ông đảm bảo với công dân Texas rằng các bước đang được thực hiện để bảo vệ sự an toàn của công chúng."
The building housed a number of pilgrims who came to visit the holy city at the eve of hajj pilgrimage.,Tòa nhà có một số người hành hương đến thăm Thành phố Thánh vào đêm trước cuộc hành hương của Hajj.
"Nevertheless, there are many distinctive ways of drinking coffee around the world that are worth experiencing.","Tuy nhiên, có nhiều cách uống cà phê đặc biệt trên khắp thế giới đáng để trải nghiệm."
"Already reporting in English and Japanese, the global organization is launching Spanish, Italian, and Korean-language programs, for television, the web, and mobile devices.","Đã báo cáo bằng tiếng Anh và Nhật Bản, tổ chức toàn cầu sẽ ra mắt các chương trình tiếng Tây Ban Nha, Ý và tiếng Hàn, cho truyền hình, web và thiết bị di động."
A cell is the smallest structural and functional unit of a living (things) organism.,Một tế bào là đơn vị cấu trúc và chức năng nhỏ nhất của một sinh vật sống (vật).
"During the last three decades, despite officially remaining a communist state, China has developed a market economy.","Trong ba thập kỷ qua, mặc dù chính thức còn lại là một quốc gia cộng sản, Trung Quốc đã phát triển một nền kinh tế thị trường."
"The focus of this mindset is speed, logic and accuracy, also identification of facts, reapplying existing techniques, gathering information.","Trọng tâm của tư duy này là tốc độ, logic và độ chính xác, cũng xác định các sự kiện, áp dụng lại các kỹ thuật hiện có, thu thập thông tin."
"When low tide opened a gap along the Mystic River along the northeast of the peninsula, they quickly extended the fence with a short stone wall to the north ending at the water's edge on a small beach.","Khi thủy triều thấp mở ra một khoảng trống dọc theo sông huyền bí dọc theo phía đông bắc của bán đảo, họ nhanh chóng mở rộng hàng rào bằng một bức tường đá ngắn về phía bắc kết thúc ở rìa nước trên một bãi biển nhỏ."
"In this instance, recalling previous instances of entrepreneurial behavior and resulting successes helped people to be open to new changes and new direction for the local church.","Trong trường hợp này, việc nhớ lại các trường hợp trước đây của hành vi kinh doanh và kết quả thành công đã giúp mọi người cởi mở với những thay đổi mới và hướng đi mới cho nhà thờ địa phương."
"Jerusalem is the capital and largest city of Israel, though most other countries and the United Nations do not recognize it as Israel's capital.","Jerusalem là thủ đô và thành phố lớn nhất của Israel, mặc dù hầu hết các quốc gia khác và Liên Hợp Quốc không công nhận đó là thủ đô của Israel."
"Seven points behind, Johnson is second with 2,243.","Bảy điểm phía sau, Johnson đứng thứ hai với 2.243."
"""Apart from the fever and a sore throat, I feel well and in good shape to carry out my work by telecommuting.","""Ngoài cơn sốt và đau họng, tôi cảm thấy tốt và trong tình trạng tốt để thực hiện công việc của mình bằng cách làm việc từ xa."
"San Francisco has developed a large tourist infrastructure with numerous hotels, restaurants, and top-notch convention facilities.","San Francisco đã phát triển một cơ sở hạ tầng du lịch lớn với nhiều khách sạn, nhà hàng và các cơ sở hội nghị hàng đầu."
"If you look at living things under a microscope, you will see that they are made of small squares or balls.","Nếu bạn nhìn vào những sinh vật sống dưới kính hiển vi, bạn sẽ thấy rằng chúng được làm bằng hình vuông hoặc bóng nhỏ."
"Written words are often easier to understand than spoken words, also. This is especially true of addresses, which are often difficult to pronounce intelligibly.","Các từ viết thường dễ hiểu hơn những từ nói, cũng vậy.Điều này đặc biệt đúng với các địa chỉ, thường khó phát âm một cách thông minh."
"Then, a few years later in 1639, an English astronomer named Jeremiah Horrocks observed a transit of Venus.","Sau đó, một vài năm sau đó vào năm 1639, một nhà thiên văn học người Anh tên là Jeremiah Horrocks đã quan sát thấy một quá cảnh của Venus."
"Unless you are a diplomat, working overseas generally means that you will have to file income tax in the country you are based in.","Trừ khi bạn là một nhà ngoại giao, làm việc ở nước ngoài thường có nghĩa là bạn sẽ phải nộp thuế thu nhập ở quốc gia bạn đang có trụ sở."
"However, Charles went to university at Trinity College, Cambridge where he studied Anthropology and Archaeology, and later History, earning a 2:2 (a lower second class degree).","Tuy nhiên, Charles đã đến trường đại học tại Trinity College, Cambridge, nơi anh học Nhân chủng học và Khảo cổ học, và Lịch sử sau này, kiếm được 2: 2 (một cấp độ hạng hai thấp hơn)."
"I expect to return to all my duties on Monday,"" Arias said in a statement.","Tôi hy vọng sẽ trở lại với tất cả các nhiệm vụ của mình vào thứ Hai, ""Arias nói trong một tuyên bố."
"What is a cell? The word cell comes from the Latin word ""cella"", meaning ""small room"", and it was first coined by a microscopist observing the structure of cork.","Một tế bào là gì?Tế bào từ xuất phát từ ""cella"" từ tiếng Latin, có nghĩa là ""phòng nhỏ"" và lần đầu tiên nó được đặt ra bởi một nhà kính hiển vi quan sát cấu trúc của nút chai."
Russian ground control activated the jets and normal attitude of the station was regained.,Kiểm soát mặt đất của Nga đã kích hoạt các máy bay phản lực và thái độ bình thường của nhà ga đã được lấy lại.
"It is possible to secure park permits directly from the Ranger Station in Puerto Jiménez, but they do not accept credit cards","Có thể bảo đảm giấy phép công viên trực tiếp từ trạm kiểm lâm ở Puerto Jiménez, nhưng họ không chấp nhận thẻ tín dụng"
"He did, however, reiterate his earlier statement that Roe v. Wade was the ""settled law of the land"", emphasizing the importance of consistent Supreme Court rulings.","Tuy nhiên, ông đã nhắc lại tuyên bố trước đó của mình rằng Roe v. Wade là ""luật định cư của vùng đất"", nhấn mạnh tầm quan trọng của các phán quyết của Tòa án Tối cao nhất quán."
"Especially in your initial days, consider splurging on Western-style and -quality hotels, food, and services to help acclimatize.","Đặc biệt là trong những ngày đầu của bạn, hãy xem xét các khách sạn, thực phẩm và dịch vụ theo phong cách phương Tây và các dịch vụ để giúp làm quen."
"MRI is based on a physics phenomenon called nuclear magnetic resonance (NMR), which was discovered in the 1930s by Felix Bloch (working at Stanford University) and Edward Purcell (from Harvard University).","MRI dựa trên một hiện tượng vật lý được gọi là cộng hưởng từ hạt nhân (NMR), được phát hiện vào những năm 1930 bởi Felix Bloch (làm việc tại Đại học Stanford) và Edward Purcell (từ Đại học Harvard)."
"In an ambush east of Bardia, the British captured the Italian Tenth Army's Engineer-in-Chief, General Lastucci.","Trong một cuộc phục kích ở phía đông của Bardia, người Anh đã chiếm được tổng giám đốc của Quân đội Tenth của Ý, Tướng Lastucci."
"Wildlife is among the most challenging motifs for a photographer, and needs a combination of good luck, patience, experience and good equipment.","Động vật hoang dã là một trong những mô típ thử thách nhất cho một nhiếp ảnh gia, và cần sự kết hợp giữa may mắn, kiên nhẫn, kinh nghiệm và thiết bị tốt."
Today's Player of the Day is Alex Ovechkin of the Washington Capitals.,Người chơi ngày hôm nay là Alex Ovechkin của Washington Capitals.
The jail became notorious after prisoner abuse was discovered there after US forces took over.,Nhà tù trở nên khét tiếng sau khi lạm dụng tù nhân được phát hiện ở đó sau khi lực lượng Hoa Kỳ tiếp quản.
"Born in the Croatian capital, Zagreb, Bobek gained fame while playing for Partizan Belgrade.","Sinh ra ở thủ đô Croatia, Zagreb, Bobek nổi tiếng khi chơi cho Partizan Belgrade."
"Around 11:29, the protest moved up Whitehall, past Trafalgar Square, along the Strand, passing by Aldwych and up Kingsway towards Holborn where the Conservative Party were holding their Spring Forum in the Grand Connaught Rooms hotel.","Khoảng 11:29, cuộc biểu tình đã di chuyển lên Whitehall, qua Quảng trường Trafalgar, dọc theo The Strand, đi ngang qua Aldwych và Up Kingsway về phía Holborn, nơi Đảng Bảo thủ đang tổ chức Diễn đàn Mùa xuân của họ trong Khách sạn Grand Connaught."
"The Colonists, seeing this activity, had also called for reinforcements.","Các thực dân, nhìn thấy hoạt động này, cũng đã kêu gọi quân tiếp viện."
Stark's men took positions along the fence on the north end of the Colonist's position.,Người của Stark đã đảm nhận các vị trí dọc theo hàng rào ở đầu phía bắc của vị trí thực dân.
It is an archipelago with 15 islands spread out over 2.2 million km2 of ocean.,"Đây là một quần đảo với 15 hòn đảo trải rộng hơn 2,2 triệu km2 đại dương."
"Peter Costello, Australian treasurer and the man most likely to succeed Prime Minister John Howard as Liberal party leader has thrown his support behind a nuclear power industry in Australia.","Peter Costello, thủ quỹ Úc và người đàn ông có khả năng kế nhiệm Thủ tướng John Howard nhất là lãnh đạo Đảng Tự do đã ném sự hỗ trợ của mình đằng sau một ngành công nghiệp điện hạt nhân ở Úc."
"However, in Malaysia, at least among the Malays in rural areas, it means ""come over,"" similar to the index finger bent toward the body, a gesture which is used in certain Western countries, and should be used only for that purpose.","Tuy nhiên, ở Malaysia, ít nhất là trong số những người Malay ở khu vực nông thôn, điều đó có nghĩa là ""đi qua"", tương tự như ngón trỏ uốn cong về phía cơ thể, một cử chỉ được sử dụng ở một số nước phương Tây và chỉ nên được sử dụng cho mục đích đó."
"If you are going to camp out, bring a camp cot or hammock to keep you away from snakes, scorpions and such.","Nếu bạn sẽ cắm trại ra ngoài, hãy mang theo một chiếc cũi trại hoặc võng để tránh xa những con rắn, bọ cạp và như vậy."
"The approach to obtaining information was different. No longer did pressure reside within individual recall, but the ability to recall text became more of a focus.","Cách tiếp cận để có được thông tin là khác nhau.Không còn áp lực nằm trong việc thu hồi cá nhân, nhưng khả năng nhớ lại văn bản trở nên tập trung hơn."
"Towering above the north end of Machu Picchu is this steep mountain, often the backdrop to many photos of the ruins.","Towering phía trên đầu phía bắc của Machu Picchu là ngọn núi dốc này, thường là bối cảnh cho nhiều bức ảnh của tàn tích."
A Triceratops could have used its strong beak to strip off the leaves before eating the trunk.,Một triceratops có thể đã sử dụng mỏ mạnh mẽ của nó để tước lá trước khi ăn thân cây.
It can be customized to make it easy to read and also with as much or little color as desired.,Nó có thể được tùy chỉnh để làm cho nó dễ đọc và cũng có nhiều màu hoặc ít màu như mong muốn.
"This authentic community is located in Howe Sound just off Vancouver, and is easily accessed via scheduled water taxis departing Granville Island in downtown Vancouver.",Cộng đồng xác thực này nằm ở Howe Sound ngay ngoài Vancouver và dễ dàng truy cập thông qua taxi nước theo lịch trình khởi hành Đảo Granville ở trung tâm thành phố Vancouver.
"There were no heavy traffic delays reported on the beltway, the city's alternate route.","Không có sự chậm trễ giao thông lớn được báo cáo trên Beltway, tuyến đường thay thế của thành phố."
These requirements may often depend on what countries a traveller has visited or intends to visit.,Những yêu cầu này thường có thể phụ thuộc vào những gì các quốc gia mà khách du lịch đã đến thăm hoặc dự định ghé thăm.
"The Il-76 has been a major component of both the Russian and Soviet military since the 1970s, and had already seen a serious accident in Russia last month.","IL-76 đã là một thành phần chính của cả quân đội Nga và Liên Xô kể từ những năm 1970, và đã thấy một tai nạn nghiêm trọng ở Nga vào tháng trước."
"When the capsule gets to Earth and enters the atmosphere, at about 5am (eastern time), it is expected to put on quite a light show for folks in Northern California, Oregon, Nevada, and Utah.","Khi viên nang đến Trái đất và bước vào bầu khí quyển, vào khoảng 5 giờ sáng (thời gian phương Đông), người ta dự kiến ​​sẽ đưa vào một buổi trình diễn ánh sáng cho những người ở Bắc California, Oregon, Nevada và Utah."
"Your hotel or hosts (if staying in a guesthouse or private home) will likely have wifi or an internet connected PC, and all settlements have an internet cafe or some location with public wifi.",Khách sạn hoặc chủ nhà của bạn (nếu ở trong nhà khách hoặc nhà riêng) có thể sẽ có WiFi hoặc PC được kết nối Internet và tất cả các khu định cư đều có một quán cà phê internet hoặc một số địa điểm có WiFi công cộng.
"One of the world's richest people, Allen has reportedly invested much of his wealth in marine exploration and began his quest to find the Musashi out of a lifelong interest in the war.","Một trong những người giàu nhất thế giới, Allen đã đầu tư nhiều tài sản của mình vào việc thăm dò hàng hải và bắt đầu tìm kiếm Musashi vì sự quan tâm suốt đời trong cuộc chiến."
The main reason for this phenomenon is the result of the lucid dreams expanding the length of time between REM states.,Lý do chính cho hiện tượng này là kết quả của những giấc mơ sáng suốt mở rộng khoảng thời gian giữa các trạng thái REM.
"Because calls are routed over the Internet, you do not need to use a phone company located where you live or where you travel.","Bởi vì các cuộc gọi được định tuyến qua Internet, bạn không cần phải sử dụng một công ty điện thoại ở nơi bạn sống hoặc nơi bạn đi du lịch."
Each show would also provide recommendations for books that children should look for when they went to their library.,Mỗi chương trình cũng sẽ cung cấp các khuyến nghị cho những cuốn sách mà trẻ em nên tìm kiếm khi chúng đến thư viện của chúng.
Be sure the agent through whom you book is a Galapagos specialist with a good knowledge of a wide variety of ships.,Hãy chắc chắn rằng đại lý mà bạn đặt sách là một chuyên gia Galapagos với kiến ​​thức tốt về nhiều loại tàu khác nhau.
"With fewer REMs per night, this state in which you experience actual sleep and your body recovers becomes infrequent enough to become a problem.","Với ít REM hơn mỗi đêm, trạng thái này mà bạn trải nghiệm giấc ngủ thực tế và cơ thể bạn hồi phục trở nên không thường xuyên để trở thành một vấn đề."
"Nevertheless, all French-speaking Belgians and Swiss would have learned standard French in school, so they would be able to understand you even if you used the standard French numbering system.","Tuy nhiên, tất cả người Bỉ nói tiếng Pháp và người Thụy Sĩ sẽ học tiếng Pháp tiêu chuẩn ở trường, vì vậy họ sẽ có thể hiểu bạn ngay cả khi bạn sử dụng hệ thống đánh số tiêu chuẩn của Pháp."
"After it became apparent that many families were seeking legal help to fight the evictions, a meeting was held on March 20 at the East Bay Community Law Center for the victims of the housing scam.","Sau khi rõ ràng là nhiều gia đình đang tìm kiếm sự giúp đỡ pháp lý để chống lại các vụ trục xuất, một cuộc họp đã được tổ chức vào ngày 20 tháng 3 tại Trung tâm Luật Cộng đồng East Bay cho các nạn nhân của vụ lừa đảo nhà ở."
The nucleus consists of two particles - neutrons and protons.,Hạt nhân bao gồm hai hạt - neutron và proton.
"When the tenants started sharing what had occurred to them, most of the families involved suddenly realized that Carolyn Wilson of the OHA had stolen their security deposits, and skipped out of town.","Khi những người thuê nhà bắt đầu chia sẻ những gì đã xảy ra với họ, hầu hết các gia đình liên quan đến đột nhiên nhận ra rằng Carolyn Wilson của OHA đã đánh cắp tiền gửi an ninh của họ và bỏ qua thị trấn."
"There is a surcharge for having more than 2 passengers, so this option might be more expensive than necessary.","Có một khoản phụ phí để có hơn 2 hành khách, vì vậy tùy chọn này có thể đắt hơn mức cần thiết."
Surface tension happens because the water molecules at the surface of the water are strongly attracted to each other more than they are to the air molecules above them.,Căng thẳng bề mặt xảy ra bởi vì các phân tử nước ở bề mặt nước bị thu hút mạnh mẽ với nhau nhiều hơn so với các phân tử không khí phía trên chúng.
Present-day parts of Belgium were part of Luxembourg in the past but became Belgian after the 1830s Belgian Revolution.,Các phần ngày nay của Bỉ là một phần của Luxembourg trong quá khứ nhưng đã trở thành người Bỉ sau Cách mạng Bỉ năm 1830.
"Thanks to undersea fiber optic cable links to Europe and broadband satellite, Greenland is well connected with 93% of the population having internet access.","Nhờ các liên kết cáp quang dưới đáy biển đến châu Âu và vệ tinh băng thông rộng, Greenland được kết nối tốt với 93% dân số có quyền truy cập internet."
As the ability to obtain knowledge and to learn changed in such a way as mentioned above the base rate at which knowledge was obtained changed.,Khi khả năng có được kiến ​​thức và học hỏi đã thay đổi theo cách như đã đề cập ở trên tỷ lệ cơ bản mà kiến ​​thức thu được đã thay đổi.
"And then back to the north through the west, once again crossing the Mara river, after the rains in around April.","Và sau đó trở về phía bắc qua phía tây, một lần nữa băng qua sông Ma vương, sau những cơn mưa vào khoảng tháng 4."
Sikhism is a religion from the Indian sub-continent. It originated in the Punjab region during the 15th century from a sectarian split within the Hindu tradition.,Sikh là một tôn giáo từ tiểu lục địa Ấn Độ.Nó bắt nguồn từ khu vực Punjab trong thế kỷ 15 từ một sự phân chia giáo phái trong truyền thống Ấn Độ giáo.
This is because electricity flowing into the socket where the metallic part of bulb sits can give you a severe electric shock if you touch the inside of the socket or the metal base of the bulb while it is still partly in the socket.,Điều này là do điện chảy vào ổ cắm nơi phần kim loại của bóng đèn có thể gây cho bạn một cú sốc điện nghiêm trọng nếu bạn chạm vào bên trong ổ cắm hoặc đế kim loại của bóng đèn trong khi nó vẫn còn một phần trong ổ cắm.
"Every year around October nearly 1.5 million herbivores travel towards the southern plains, crossing the Mara River, from the northern hills for the rains.","Hàng năm vào khoảng tháng 10 gần 1,5 triệu động vật ăn cỏ đi về phía vùng đồng bằng phía nam, băng qua sông Ma vương, từ những ngọn đồi phía bắc cho những cơn mưa."
They normally offer higher bandwidth and better quality of service. They are encrypted and thus harder to spy on.,Họ thường cung cấp băng thông cao hơn và chất lượng dịch vụ tốt hơn.Chúng được mã hóa và do đó khó khăn hơn để theo dõi.
"Unlike other primates, hominids no longer use their hands in locomotion or bearing weight or swinging through the trees.","Không giống như các loài linh trưởng khác, vượn nhân hình không còn sử dụng tay của chúng trong đầu máy hoặc mang trọng lượng hoặc vung qua cây."
"When people don't see moose as potentially dangerous, they may approach too closely and put themselves at risk.","Khi mọi người không thấy con nai có khả năng nguy hiểm, họ có thể tiếp cận quá chặt chẽ và đặt mình vào nguy cơ."
Authorities said little officially beyond confirming today's arrest.,Nhà chức trách cho biết rất ít chính thức vượt ra ngoài xác nhận vụ bắt giữ hôm nay.
"The National Congress of Brazil has debated legalization for 10 years, and such civil marriages are currently only legal in Rio Grande do Sul.",Đại hội Quốc gia Brazil đã tranh luận hợp pháp hóa trong 10 năm và những cuộc hôn nhân dân sự như vậy hiện chỉ hợp pháp ở Rio Grande do Sul.
It can be better to use an agent who frequently books similar trips to yours.,Có thể tốt hơn để sử dụng một đại lý thường xuyên đặt các chuyến đi tương tự với bạn.
"While understanding one’s history does not assume understanding of culture, it does at least help people gain a sense of where they fall within the history of the organization.","Mặc dù hiểu được một lịch sử của người Viking không cho rằng sự hiểu biết về văn hóa, nhưng ít nhất nó cũng giúp mọi người hiểu được vị trí của họ trong lịch sử của tổ chức."
Possible long term health events from excessive drinking can include liver damage and even blindness and death. The potential danger is increased when consuming illegally produced alcohol.,Các sự kiện sức khỏe lâu dài có thể từ uống quá nhiều có thể bao gồm tổn thương gan và thậm chí mù và tử vong.Mối nguy hiểm tiềm tàng được tăng lên khi tiêu thụ rượu sản xuất bất hợp pháp.
